booking_number,name_x,mapped_name,id,name_y
149307095568,SHENZHEN YAMAHA MUSIC&ELECTRONICS T,Yamaha Corporation,7f45a6f7-803d-4f33-801b-62df214165bf,Yamaha Corporation
142303525862,"YAMAHA MUSIC LATIN AMERICA,S.A.",Sea Cargo s.r.o,3e1c9c3a-e9f6-4a6e-ade1-f0bcf332aa6d,Sea Cargo s.r.o
149400427010,YAMAHA CORPORATION,Yamaha Corporation,7f45a6f7-803d-4f33-801b-62df214165bf,Yamaha Corporation
080400094982,YAMAHA CORPORATION C/O MOL LOGISTIC,Yamaha Corporation,7f45a6f7-803d-4f33-801b-62df214165bf,Yamaha Corporation
080300600495,YAMAHA CORPORATION,Yamaha Corporation,7f45a6f7-803d-4f33-801b-62df214165bf,Yamaha Corporation
130400004185,HADDAD APPAREL GROUP LTD,Dunelm Group,20db8080-f3d8-44e8-a769-bf55b0f49cf5,Dunelm Group
240300067545,HADDAD APPAREL,Lollytogs LTD DBA LT Apparel Group,f89e1ed9-ae40-449f-8b54-699d753437e4,Lollytogs LTD DBA LT Apparel Group
080400024780,YAMAHA CORPORATION,Yamaha Corporation,7f45a6f7-803d-4f33-801b-62df214165bf,Yamaha Corporation
236400103740,"HADDAD APPAREL GROUP, LTD",Dunelm Group,20db8080-f3d8-44e8-a769-bf55b0f49cf5,Dunelm Group
142354183306,"HADDAD APPAREL GROUP, LTD131 DOCKS",Dunelm Group,20db8080-f3d8-44e8-a769-bf55b0f49cf5,Dunelm Group
080300552776,YAMAHA MUSIC ELECTRONICS CHINA,Casa China Limited,9b65ee1f-c11e-4f2b-8dcb-2c87036cabe6,Casa China Limited
145399011355,SUNSET WEST,North West Grains,7f9e315b-0bbf-4e4b-aed2-80c199211d7b,North West Grains
141400090443,YAMAHA MUSIC VIETNAM COMPANY LIMITE,Genuine Parts Company,ae6fab72-ddb9-42a1-bf8b-982feccc8a0c,Genuine Parts Company
093300364432,YAMAHA MUSIC PHILIPPINES INC,DSV Air & Sea Inc.,d9ed942f-2b46-4074-9657-511eb7fcae67,DSV Air & Sea Inc.
081400006020,XIAOSHAN YAMAHA MUSICAL INSTRUMENTC,Yamaha Corporation,7f45a6f7-803d-4f33-801b-62df214165bf,Yamaha Corporation
146400149759,SUNSET WEST,North West Grains,7f9e315b-0bbf-4e4b-aed2-80c199211d7b,North West Grains
093400077737,YAMAHA MUSIC & ELECTRONICS TAIWAN,Yamaha Corporation,7f45a6f7-803d-4f33-801b-62df214165bf,Yamaha Corporation
240400003077,HADDAD APPAREL,Lollytogs LTD DBA LT Apparel Group,f89e1ed9-ae40-449f-8b54-699d753437e4,Lollytogs LTD DBA LT Apparel Group
010400082029,PT YAMAHA MUSIC MANUFACTURING ASIA,CIE Manufacturing,307cc7e2-da74-4a5f-a3c7-c2a0d51b484c,CIE Manufacturing
142354183420,"HADDAD APPAREL GROUP, LTD131 DOCKS",Dunelm Group,20db8080-f3d8-44e8-a769-bf55b0f49cf5,Dunelm Group
080400014288,YAMAHA MUSIC (MALAYSIA) SDN.BHD,Yamaha Corporation,7f45a6f7-803d-4f33-801b-62df214165bf,Yamaha Corporation
142400307076,"SIAM MUSIC YAMAHA CO., LTD","ANHUI TECHNOLOGY IMPORT AND EXPORT CO,.LTD.",bc64c1dc-56d1-44e5-a460-2dd47ab7f867,"ANHUI TECHNOLOGY IMPORT AND EXPORT CO,.LTD."
141400013287,TO ORDER,Super Auto Forge Private Limited,018bc528-ac80-442d-a410-5c4a9d713f25,Super Auto Forge Private Limited
080400104652,YAMAHA CORPORATION C/O MOL LOGISTIC,Yamaha Corporation,7f45a6f7-803d-4f33-801b-62df214165bf,Yamaha Corporation
149401091155,HOOKER FURNITURE CORPORATION,AISIN CORPORATION,6d375986-0a2e-494f-95fc-111062e45cf4,AISIN CORPORATION
130400006412,HADDAD APPAREL GROUP LTD,Dunelm Group,20db8080-f3d8-44e8-a769-bf55b0f49cf5,Dunelm Group
236300483028,"HADDAD APPAREL GROUP, LTD",Dunelm Group,20db8080-f3d8-44e8-a769-bf55b0f49cf5,Dunelm Group
091330614457,YAMAHA CORPORATION,Yamaha Corporation,7f45a6f7-803d-4f33-801b-62df214165bf,Yamaha Corporation
080400054603,YAMAHA CORPORATION,Yamaha Corporation,7f45a6f7-803d-4f33-801b-62df214165bf,Yamaha Corporation
010400091150,YAMAHA CORPORATION,Yamaha Corporation,7f45a6f7-803d-4f33-801b-62df214165bf,Yamaha Corporation
235301476019,"HADDAD APPAREL GROUP, LTD",Dunelm Group,20db8080-f3d8-44e8-a769-bf55b0f49cf5,Dunelm Group
149307791742,HOOKER FURNITURE CORPORATION,AISIN CORPORATION,6d375986-0a2e-494f-95fc-111062e45cf4,AISIN CORPORATION
142400181145,PT YAMAHA INDONESIA JL.,Yamaha Motor Co. LTD,57800935-3d06-4c6a-95a7-cf3c96508359,Yamaha Motor Co. LTD
238400059208,"HADDAD APPAREL GROUP, LTD",Dunelm Group,20db8080-f3d8-44e8-a769-bf55b0f49cf5,Dunelm Group
149400305755,YAMAHA CORPORATION,Yamaha Corporation,7f45a6f7-803d-4f33-801b-62df214165bf,Yamaha Corporation
081400031016,YAMAHA CORPORATION JAPAN,Yamaha Corporation,7f45a6f7-803d-4f33-801b-62df214165bf,Yamaha Corporation
149307834638,YAMAHA CORPORATION,Yamaha Corporation,7f45a6f7-803d-4f33-801b-62df214165bf,Yamaha Corporation
010400116811,YAMAHA CORPORATION,Yamaha Corporation,7f45a6f7-803d-4f33-801b-62df214165bf,Yamaha Corporation
238300141336,"HADDAD APPAREL GROUP, LTD",Dunelm Group,20db8080-f3d8-44e8-a769-bf55b0f49cf5,Dunelm Group
130400004185,HADDAD APPAREL GROUP LTD,Dunelm Group,20db8080-f3d8-44e8-a769-bf55b0f49cf5,Dunelm Group
