booking_number,name,closest_name
149307095568,SHENZHEN YAMAHA MUSIC&ELECTRONICS T,SHENZHEN VANOCEAN INTERNATIONAL FREIGHT LIMITED
142303525862,"YAMAHA MUSIC LATIN AMERICA,S.A.",Fr. Meyer's Sohn North America LLC
149400427010,YAMAHA CORPORATION,Yamaha Corporation
080400094982,YAMAHA CORPORATION C/O MOL LOGISTIC,Yamaha Corporation
080300600495,YAMAHA CORPORATION,Yamaha Corporation
130400004185,HADDAD APPAREL GROUP LTD,Lollytogs LTD DBA LT Apparel Group
240300067545,HADDAD APPAREL,Comint Apparel
080400024780,YAMAHA CORPORATION,Yamaha Corporation
236400103740,"HADDAD APPAREL GROUP, LTD",Lollytogs LTD DBA LT Apparel Group
142354183306,"HADDAD APPAREL GROUP, LTD131 DOCKS",Lollytogs LTD DBA LT Apparel Group
080300552776,YAMAHA MUSIC ELECTRONICS CHINA,UBILogistics (China) Limited
145399011355,SUNSET WEST,North West Grains
141400090443,YAMAHA MUSIC VIETNAM COMPANY LIMITE,The Proctor & Gamble Company
093300364432,YAMAHA MUSIC PHILIPPINES INC,DSV Air & Sea Inc.
081400006020,XIAOSHAN YAMAHA MUSICAL INSTRUMENTC,Yamaha Corporation
146400149759,SUNSET WEST,North West Grains
093400077737,YAMAHA MUSIC & ELECTRONICS TAIWAN,Yamaha Corporation
240400003077,HADDAD APPAREL,Comint Apparel
010400082029,PT YAMAHA MUSIC MANUFACTURING ASIA,CIE Manufacturing
142354183420,"HADDAD APPAREL GROUP, LTD131 DOCKS",Lollytogs LTD DBA LT Apparel Group
080400014288,YAMAHA MUSIC (MALAYSIA) SDN.BHD,Yamaha Corporation
142400307076,"SIAM MUSIC YAMAHA CO., LTD",Yamaha Motor Co. LTD
141400013287,TO ORDER,Sea Cargo s.r.o
080400104652,YAMAHA CORPORATION C/O MOL LOGISTIC,Yamaha Corporation
149401091155,HOOKER FURNITURE CORPORATION,AISIN CORPORATION
130400006412,HADDAD APPAREL GROUP LTD,Lollytogs LTD DBA LT Apparel Group
236300483028,"HADDAD APPAREL GROUP, LTD",Lollytogs LTD DBA LT Apparel Group
091330614457,YAMAHA CORPORATION,Yamaha Corporation
080400054603,YAMAHA CORPORATION,Yamaha Corporation
010400091150,YAMAHA CORPORATION,Yamaha Corporation
235301476019,"HADDAD APPAREL GROUP, LTD",Lollytogs LTD DBA LT Apparel Group
149307791742,HOOKER FURNITURE CORPORATION,AISIN CORPORATION
142400181145,PT YAMAHA INDONESIA JL.,Yamaha Corporation
238400059208,"HADDAD APPAREL GROUP, LTD",Lollytogs LTD DBA LT Apparel Group
149400305755,YAMAHA CORPORATION,Yamaha Corporation
081400031016,YAMAHA CORPORATION JAPAN,Yamaha Corporation
149307834638,YAMAHA CORPORATION,Yamaha Corporation
010400116811,YAMAHA CORPORATION,Yamaha Corporation
238300141336,"HADDAD APPAREL GROUP, LTD",Lollytogs LTD DBA LT Apparel Group
130400004185,HADDAD APPAREL GROUP LTD,Lollytogs LTD DBA LT Apparel Group
091330558191,"TOM LEE MUSIC CO.,LTD","ANHUI TECHNOLOGY IMPORT AND EXPORT CO,.LTD."
081400006012,XIAOSHAN YAMAHA MUSICAL INSTRUMENTC,Yamaha Corporation
149307377130,HOOKER FURNITURE CORPORATION,AISIN CORPORATION
143451567308,TO ORDER,Sea Cargo s.r.o
080300532562,YAMAHA CORPORATION JAPAN,Yamaha Corporation
080400091029,XIAOSHAN YAMAHA MUSICAL,Yamaha Corporation
101400011722,YAMAHA MUSICAL DO BRASIL LTDA,What Do You Meme
